#NOTES: 
#All Castle doors and gates are found in the castledoor.sql
#All thrones and signs are found in the staticobjects.csv
#To make a door unlockable through the unlock skill, add true to the end of the string
#Doors sorted by map regions
#Table Description:
#name;static_object_id;posx;posy;posz;ax;ay;bx;by;cx;cy;dx;dy;minz;maxz;hp;physical_defence;magic_defence;unlockable;autoopen
##############################################################################

# Doors on region 16_20:

#Normil's Garden
Normils_garden_01;16200001;-109704;76424;-12656;-109819;76435;-109818;76417;-109589;76415;-109589;76434;-12656;-12612;158250;644;518;False;False
Normils_garden_02;16200002;-110856;77960;-12848;-110874;78060;-110838;78060;-110838;77861;-110873;77862;-12848;-12804;158250;644;518;False;False
Normils_garden_03;16200003;-111624;77960;-12848;-111642;78060;-111606;78060;-111606;77861;-111641;77862;-12848;-12804;158250;644;518;False;False
Normils_garden_04;16200004;-107587;80604;-12946;-107575;80702;-107605;80702;-107607;80506;-107573;80506;-12946;-12886;158250;644;518;False;False
Normils_garden_05;16200005;-109120;80648;-12944;-109100;80844;-109141;80844;-109141;80451;-109100;80451;-12944;-12876;158250;644;518;False;False
Normils_garden_06;16200006;-108676;82444;-12912;-108549;82290;-108521;82316;-108802;82599;-108830;82574;-12912;-12844;158250;644;518;False;False
Normils_garden_07;16200007;-110475;83143;-12912;-110288;83140;-110287;83149;-110658;83150;-110658;83137;-12912;-12828;158250;644;518;False;False
Normils_garden_08;16200008;-112264;82440;-12912;-112109;82571;-112135;82594;-112416;82314;-112391;82286;-12912;-12844;158250;644;518;False;False
Normils_garden_09;16200009;-111824;80648;-12944;-111804;80844;-111845;80844;-111845;80451;-111804;80451;-12944;-12876;158250;644;518;False;False
Normils_garden_10;16200010;-107588;83677;-12913;-107577;83776;-107606;83776;-107608;83580;-107575;83580;-12913;-12855;158250;644;518;False;False
Normils_garden_11;16200011;-110472;84488;-13008;-110587;84499;-110586;84481;-110357;84479;-110357;84498;-13008;-12964;158250;644;518;False;False
Normils_garden_12;16200012;-111424;87176;-13008;-111404;87372;-111445;87372;-111445;86979;-111404;86979;-13008;-12938;158250;644;518;False;False
Normils_garden_13;16200013;-110663;84052;-13011;-110652;84151;-110681;84151;-110683;83955;-110649;83955;-13011;-13003;158250;644;518;False;False
Normils_garden_14;16200014;-113183;87179;-12904;-113173;87323;-113194;87323;-113194;87037;-113175;87037;-12904;-12852;158250;644;518;False;False
Normils_garden_15;16200015;-115074;87178;-12816;-115063;87322;-115085;87322;-115084;87036;-115066;87035;-12816;-12744;158250;644;518;False;False
Normils_garden_16;16200016;-116972;87177;-12711;-116961;87320;-116983;87320;-116982;87034;-116964;87034;-12711;-12711;158250;644;518;False;False
